GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1022300161,1611661317,Mercury,PHO,Phoenix,Bench,36.000000:05,3,8,0.375,0,3,0.0,1,1,1.0,1,0,1,9,1,0,1,2,7
1022300149,1611661319,Aces,LVA,Las Vegas,Starters,160.000000:03,27,55,0.491,9,20,0.45,27,28,0.964,2,23,25,17,4,7,8,11,90
1022300149,1611661319,Aces,LVA,Las Vegas,Bench,39.000000:57,5,9,0.556,4,5,0.8,0,0,0.0,1,4,5,0,1,0,0,7,14
1022300149,1611661321,Wings,DAL,Dallas,Starters,175.000000:41,32,68,0.471,7,17,0.412,9,17,0.529,12,25,37,15,8,3,13,15,80
1022300089,1611661328,Storm,SEA,Seattle,Starters,164.000000:37,23,66,0.348,8,19,0.421,13,15,0.867,11,26,37,18,5,1,15,16,67
1022300089,1611661328,Storm,SEA,Seattle,Bench,56.000000:28,11,18,0.611,5,7,0.714,3,4,0.75,2,9,11,3,3,2,2,4,30
1022300089,1611661324,Lynx,MIN,Minnesota,Starters,171.000000:39,30,57,0.526,6,16,0.375,19,23,0.826,3,24,27,19,9,10,7,16,85
1022300089,1611661324,Lynx,MIN,Minnesota,Bench,14.000000:58,1,6,0.167,1,4,0.25,0,0,0.0,1,2,3,3,0,0,0,3,3
1022300156,1611661317,Mercury,PHO,Phoenix,Starters,126.000000:28,21,47,0.447,7,21,0.333,16,17,0.941,7,20,27,8,2,1,9,16,65
1022300156,1611661317,Mercury,PHO,Phoenix,Bench,21.000000:37,3,5,0.6,0,1,0.0,2,2,1.0,4,1,5,2,0,1,0,2,8
1022300156,1611661330,Dream,ATL,Atlanta,Starters,121.000000:17,18,47,0.383,2,13,0.154,10,12,0.833,5,12,17,6,4,4,8,14,48
1022300156,1611661330,Dream,ATL,Atlanta,Bench,63.000000:55,4,11,0.364,0,0,0.0,7,10,0.7,2,9,11,9,3,0,5,10,15
1022300121,1611661317,Mercury,PHO,Phoenix,Starters,151.000000:09,22,50,0.44,9,21,0.429,8,8,1.0,5,19,24,15,5,6,10,14,61
1022300121,1611661317,Mercury,PHO,Phoenix,Bench,30.000000:03,3,10,0.3,1,3,0.333,1,2,0.5,0,8,8,2,0,0,3,7,8
1022300121,1611661323,Sun,CON,Connecticut,Starters,137.000000:22,14,44,0.318,1,9,0.111,15,17,0.882,3,23,26,11,3,4,8,8,44
1022300121,1611661323,Sun,CON,Connecticut,Bench,62.000000:38,8,17,0.471,5,7,0.714,1,4,0.25,3,3,6,3,4,0,2,7,22
1022300030,1611661322,Mystics,WAS,Washington,Starters,158.000000:56,24,57,0.421,8,23,0.348,10,11,0.909,5,20,25,15,6,3,7,12,66
1022300030,1611661322,Mystics,WAS,Washington,Bench,33.000000:24,3,12,0.25,1,6,0.167,3,3,1.0,2,2,4,1,2,0,1,2,10
1022300030,1611661324,Lynx,MIN,Minnesota,Starters,165.000000:27,24,52,0.462,6,18,0.333,14,15,0.933,7,28,35,14,3,0,14,11,68
1022300030,1611661324,Lynx,MIN,Minnesota,Bench,34.000000:33,4,11,0.364,3,6,0.5,1,2,0.5,0,4,4,5,1,0,2,3,12
1022300067,1611661321,Wings,DAL,Dallas,Starters,150.000000:34,21,55,0.382,6,16,0.375,19,24,0.792,8,18,26,15,3,2,10,13,67
1022300067,1611661321,Wings,DAL,Dallas,Bench,2.000000:27,0,0,0.0,0,0,0.0,0,2,0.0,0,2,2,0,0,0,0,0,0
