player_id,player_name,active_flag,rookie_year,last_season,tbd,active_team
100838,"Edwards, Teresa",0,2003,2004,0,
100398,"Edwards, Tonya",0,1999,2002,0,
1631031,"Egbo, Queen",1,2022,2024,0,aces
1627645,"Eldebrink, Frida",0,2016,2016,0,
203876,"Ellenberg, Aaryn",0,2014,2014,0,
1628327,"Elonu, Adaora",0,2018,2018,0,
101032,"Ely-Gash, Shyra",0,2005,2011,0,
1631083,"Engstler, Emily",1,2022,2024,0,mystics
100350,"Enis, Shalonda",0,1999,2003,0,
1628300,"Epps, Makayla",0,2017,2017,0,
100446,"Erb, Summer",0,2000,2002,0,
201486,"Ervin, Lauren",0,2009,2009,0,
1630389,"Evans, Dana",1,2021,2024,0,sky
202999,"Evans, Dawn",0,2012,2012,0,
1627701,"Fagbenle, Temi",1,2017,2024,0,fever
1642300,"Fair, Dyaisha",0,2024,2024,0,
100399,"Fallon, Trisha",0,1999,2001,0,
1641675,"Fankam Mendjiadeu, Dulcy",0,2023,2024,0,
203408,"Faris, Kelly",0,2013,2016,0,
100494,"Farris, Barbara",0,2000,2009,0,
203857,"Faulkner, Jamierra",0,2014,2019,0,
100170,"Feaster, Allison",0,1998,2008,0,
100998,"Fei Fei, Sui",0,2005,2005,0,
100685,"Ferdinand-Harris, Marie",0,2001,2011,0,
201037,"Fernandez, Marta",0,2007,2008,0,
100509,"Ferragut, Marina",0,2000,2000,0,
1630142,"Fiebich, Leonie",1,2024,2024,0,liberty
1627699,"Fields, Nirra",0,2016,2016,0,
100392,"Figgs, Ukari",0,1999,2003,0,
100089,"Fijalkowski, Isabelle",0,1997,2003,0,
100510,"Firsova, Olga",0,2000,2000,0,
1628289,"Fitzgerald, Feyonda",0,2017,2017,0,
100559,"Flores, Milena",0,2000,2000,0,
200680,"Fluker, Tye'sha",0,2006,2008,0,
100400,"Folkl, Kristin",0,1999,2002,0,
100843,"Ford, Cheryl",0,2003,2009,0,
100107,"Ford, Kisha",0,1997,2001,0,
100599,"Ford, Stacey",0,2001,2002,0,
100033,"Foster, Toni",0,1997,1999,0,
201480,"Fowles, Sylvia",0,2008,2022,0,
100511,"Francis, Desiree",0,2000,2000,0,
201510,"Franklin, A'Quonesia",0,2008,2009,0,
201892,"Frazee, Megan",0,2009,2010,0,
100547,"Frese, Stacy",0,2000,2000,0,
100393,"Frett, La'Keshia",0,1999,2005,0,
100948,"Frierson, Catrina",0,2004,2004,0,
100746,"Frohlich, Linda",0,2002,2007,0,
100918,"Futrell, Candace",0,2004,2004,0,
100548,"Gaither, Katryna",0,2000,2002,0,
100010,"Gant, Travesa",0,1997,1997,0,
100803,"Garcia, Begona",0,2002,2002,0,
200704,"Gardin, Kerri",0,2008,2011,0,
100747,"Gardner, Andrea",0,2002,2008,0,
203822,"Gardner, Rebekah",0,2022,2023,0,
100503,"Garner, Andrea",0,2000,2000,0,
203832,"Gatling, Markeisha",0,2014,2016,0,
100081,"Gay, Pietra",0,1997,1997,0,
100515,"Gayden, Cornelia",0,2000,2000,0,
201052,"Gearlds, Katie",0,2007,2009,0,
203043,"Gemelos, Jacki",0,2015,2020,0,
204297,"George, Cayla",0,2015,2023,0,
100014,"Gessig, Kim",0,1997,1997,0,
100504,"Gibson, Kelley",0,2000,2003,0,
100030,"Gillom, Jennifer",0,1997,2003,0,
100468,"Gilmore, Usha",0,2000,2000,0,
201551,"Gissendanner, Kamela",0,2008,2008,0,
201106,"Givens, Chrissy",0,2008,2008,0,
200648,"Gomis, Emilie",0,2006,2006,0,
1630438,"Gondrezick, Kysre",0,2021,2024,0,
203067,"Goodlett, Sasha",0,2012,2015,0,
1630453,"Goodman, Aleah",0,2021,2021,0,
203426,"Goodrich, Angel",0,2013,2015,0,
100363,"Goodson, Adrienne",0,1999,2005,0,
100017,"Gordon, Bridgette",0,1997,1998,0,
1630110,"Gorecki, Haley",0,2021,2021,0,
1627643,"Goree, Cyesha",0,2023,2023,0,
201107,"Goring, Gillian",0,2007,2007,0,
100728,"Gortman, Shaunzinski",0,2002,2006,0,
100289,"Graham, Margo",0,1998,1998,0,
200709,"Grant, Erin",0,2007,2007,0,
1627689,"Graves, Bashaara",0,2016,2017,0,
100021,"Graves, Denique",0,1997,1997,0,
1628277,"Gray, Allisha",1,2017,2024,0,dream
203833,"Gray, Chelsea",1,2015,2024,0,aces
204334,"Gray, Reshanda",0,2015,2022,0,
202280,"Gray-Lawson, Alexis",0,2011,2012,0,
100881,"Greco, Michelle",0,2004,2004,0,
202253,"Greene, Kalana",0,2010,2015,0,
203423,"Greene, Nikki",0,2014,2015,0,
101057,"Greenwalt, Cisti",0,2006,2006,0,
100476,"Grgin Fonseca, Vedrana",0,2000,2002,0,
202254,"Griffin, Kelsey",0,2010,2014,0,
100419,"Griffith, Yolanda",0,1999,2009,0,
203398,"Griner, Brittney",1,2013,2024,0,mercury
100044,"Grooms, Lady",0,1997,2004,0,
100394,"Grubin, Gordana",0,1999,2005,0,
201058,"Gruda, Sandrine",0,2008,2017,0,
1630441,"Guirantes, Arella",0,2021,2023,0,
1629484,"Gustafson, Megan",1,2019,2024,0,aces
100074,"Guyton, Wanda",0,1997,1999,0,
1627681,"Gwathmey, Jazmon",0,2016,2018,0,
1628895,"Gülich, Marie",0,2018,2020,0,
100019,"Hagiwara, Mikiko",0,1997,1998,0,
201057,"Hairston, Kamesha",0,2007,2007,0,
100516,"Hall, Amber",0,2002,2002,0,
100458,"Hall, Vicki",0,2000,2002,0,
100270,"Hamblin, Angela",0,1998,1998,0,
1627685,"Hamblin, Ruth",0,2016,2016,0,
204324,"Hamby, Dearica",1,2015,2024,0,sparks
100342,"Hammon, Becky",0,1999,2014,0,
203034,"Hampton, Keisha",0,2016,2017,0,
100102,"Hampton, Kym",0,1997,1999,0,
203845,"Hamson, Jennifer",0,2015,2017,0,
100517,"Hamzova, Romana",0,2000,2000,0,
1629566,Han Xu,0,2019,2023,0,
204336,"Harden, Alex",0,2015,2016,0,
201046,"Harding, Lindsey",0,2007,2016,0,
201509,"Harper, Laura",0,2008,2009,0,
1628897,"Harper, Linnae",0,2018,2023,0,
100096,"Harrington, Donna",0,2000,2000,0,
202644,"Harris, Amber",0,2011,2018,0,
100084,"Harris, Fran",0,1997,1998,0,
1630112,"Harris, Tyasha",1,2020,2024,0,sun
204330,"Harrison, Isabelle",1,2016,2024,0,sky
100378,"Harrison, Lisa",0,1999,2005,0,
100222,"Harrower, Kristi",0,1998,2009,0,
203829,"Hartley, Bria",0,2014,2022,0,
203418,"Hassell, Jasmine",0,2013,2014,0,
1630043,"Határ, Bernadett",0,2021,2023,0,
203403,"Hawkins, Tianna",0,2013,2023,0,
100933,"Hayden, Vanessa",0,2004,2009,0,
203026,"Hayes, Tiffany",1,2012,2024,0,aces
101027,"Haynie, Kristin",0,2005,2009,0,
100045,"Head, Dena",0,1997,2000,0,
